Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel
890.55,90,Small,2022-10-25,6,Curd,Raj,3.1,15.3,47.43,Refrigerated,2022-10-02,2022-10-09,2,10.56,21.12,Jharkhand,Wholesale
876.86,18,Small,2022-02-10,2,Butter,Amul,188.05,23.02,4328.911,Frozen,2022-01-09,2022-02-06,57,21.18,1207.26,Tamil Nadu,Wholesale
872.61,26,Large,2021-12-15,3,Cheese,Britannia Industries,395.71,69.12,27351.4752,Frozen,2021-12-11,2022-03-09,193,65.84,12707.12,Rajasthan,Online
550.58,89,Small,2022-03-01,1,Milk,Sudha,59.99,51.59,3094.8841,Tetra Pack,2022-02-25,2022-03-24,22,51.83,1140.26,Karnataka,Online
415.37,97,Large,2020-10-06,7,Lassi,Sudha,680.44,36.63,24924.5172,Refrigerated,2020-09-15,2020-10-03,566,40.37,22849.42,Karnataka,Online
390.11,27,Medium,2019-11-15,7,Lassi,Amul,235.01,65.57,15409.6057,Refrigerated,2019-09-27,2019-10-13,142,68.12,9673.04,Tamil Nadu,Wholesale
995.38,77,Medium,2019-09-16,9,Paneer,Sudha,265.18,87.45,23189.991,Refrigerated,2019-08-01,2019-08-15,32,88.98,2847.36,Delhi,Wholesale
29.92,80,Medium,2019-01-27,6,Curd,Mother Dairy,863.98,15.77,13624.9646,Refrigerated,2018-12-19,2018-12-24,105,15.86,1665.3,Bihar,Retail
702.66,79,Large,2019-11-27,1,Milk,Sudha,260.07,28.74,7474.4118,Tetra Pack,2019-11-14,2019-12-11,99,26.1,2583.9,Telangana,Wholesale
783.65,77,Large,2022-07-11,7,Lassi,Sudha,675.65,36.87,24911.2155,Refrigerated,2022-05-28,2022-06-09,671,32.92,22089.32,Rajasthan,Wholesale
568.17,83,Medium,2021-06-19,5,Ice Cream,Dodla Dairy,170.78,30.55,5217.329,Frozen,2021-06-03,2021-06-25,89,28.1,2500.9,Bihar,Online
942.15,57,Large,2022-03-14,5,Ice Cream,Mother Dairy,675.45,22.47,15177.3615,Frozen,2022-03-06,2022-03-30,292,24.91,7273.72,Madhya Pradesh,Wholesale
430.75,90,Medium,2019-01-20,5,Ice Cream,Palle2patnam,317.45,42.39,13456.7055,Frozen,2019-01-02,2019-01-31,59,43.22,2549.98,Bihar,Retail
862.12,91,Small,2020-05-25,10,Ghee,Raj,886.48,53.46,47391.2208,Ambient,2020-03-30,2020-05-30,192,56.15,10780.8,Maharashtra,Retail
549.59,75,Large,2020-11-11,3,Cheese,Amul,301.07,26.75,8053.6225,Frozen,2020-10-04,2020-11-24,77,29.88,2300.76,Tamil Nadu,Online
358.07,16,Small,2021-06-11,8,Buttermilk,Mother Dairy,926.48,61.77,57228.6696,Refrigerated,2021-05-10,2021-05-22,46,59.15,2720.9,Gujarat,Wholesale
690.79,92,Small,2022-03-13,8,Buttermilk,Amul,462.95,41.91,19402.2345,Refrigerated,2022-01-24,2022-02-02,223,46.35,10336.05,Karnataka,Wholesale
806.23,89,Large,2019-06-27,3,Cheese,Britannia Industries,696.79,73.46,51186.1934,Frozen,2019-05-20,2019-07-30,618,69.33,42845.94,Madhya Pradesh,Online
841.49,32,Large,2019-01-25,10,Ghee,Raj,271.14,86.28,23393.9592,Ambient,2018-12-29,2019-03-11,174,90.15,15686.1,Rajasthan,Online
159.56,50,Small,2022-06-21,4,Yogurt,Dodla Dairy,601.41,43.67,26263.5747,Frozen,2022-06-16,2022-07-12,351,39.29,13790.79,Madhya Pradesh,Online
736.1,52,Medium,2021-04-27,8,Buttermilk,Amul,512.73,96.18,49314.3714,Refrigerated,2021-02-27,2021-03-10,392,92.12,36111.04,Haryana,Retail
721.11,14,Small,2022-12-25,6,Curd,Sudha,585.95,83.02,48645.569,Refrigerated,2022-10-31,2022-11-06,388,84.65,32844.2,Chandigarh,Wholesale
114.64,99,Small,2019-07-04,6,Curd,Raj,571.43,50.97,29125.7871,Refrigerated,2019-06-15,2019-06-22,523,50.92,26631.16,Bihar,Wholesale
211.14,99,Large,2022-02-28,9,Paneer,Raj,98.19,44.05,4325.2695,Refrigerated,2022-01-29,2022-02-06,58,40.85,2369.3,Delhi,Online
215.03,13,Medium,2019-05-20,6,Curd,Amul,833.11,47.41,39497.7451,Refrigerated,2019-04-17,2019-04-24,622,46.45,28891.9,West Bengal,Retail
891.86,83,Large,2020-10-01,1,Milk,Sudha,385.32,16.56,6380.8992,Tetra Pack,2020-08-24,2020-09-14,369,21.08,7778.52,Chandigarh,Retail
209.6,76,Medium,2021-09-24,7,Lassi,Raj,64.77,77.37,5011.2549,Refrigerated,2021-09-04,2021-09-22,54,82.31,4444.74,Chandigarh,Retail
691.1,33,Medium,2019-01-13,2,Butter,Warana,998.52,76.47,76356.8244,Frozen,2018-12-16,2019-01-23,404,74.62,30146.48,Haryana,Wholesale
600.78,88,Large,2022-04-26,9,Paneer,Mother Dairy,663.22,40.96,27165.4912,Refrigerated,2022-03-19,2022-03-27,208,38.9,8091.2,Uttar Pradesh,Retail
188.13,90,Large,2021-01-22,6,Curd,Sudha,423.01,93.64,39610.6564,Refrigerated,2020-12-19,2020-12-25,145,97.68,14163.6,West Bengal,Online
361.5,58,Small,2020-07-05,6,Curd,Mother Dairy,556.91,33.73,18784.5743,Refrigerated,2020-05-14,2020-05-21,10,34.01,340.1,Rajasthan,Retail
340.9,65,Small,2022-04-06,8,Buttermilk,Sudha,165.0,57.21,9439.65,Refrigerated,2022-02-26,2022-03-08,117,56.07,6560.19,Telangana,Retail
609.62,37,Medium,2020-04-24,1,Milk,Sudha,15.02,61.91,929.8882,Tetra Pack,2020-03-14,2020-04-06,6,64.22,385.32,Maharashtra,Wholesale
494.73,55,Large,2020-07-14,5,Ice Cream,Amul,68.79,33.96,2336.1084,Frozen,2020-07-05,2020-07-27,1,36.51,36.51,Madhya Pradesh,Wholesale
365.86,92,Medium,2019-08-16,2,Butter,Parag Milk Foods,874.87,84.31,73760.2897,Frozen,2019-06-28,2019-08-05,299,80.78,24153.22,Delhi,Retail
77.51,16,Small,2020-06-05,10,Ghee,Mother Dairy,241.37,88.74,21419.1738,Ambient,2020-05-10,2020-07-25,177,92.85,16434.45,Maharashtra,Online
15.88,96,Large,2020-03-22,1,Milk,Raj,274.46,33.2,9112.072,Tetra Pack,2020-03-05,2020-04-02,250,30.96,7740.0,Jharkhand,Online
193.51,88,Large,2020-05-23,6,Curd,Mother Dairy,823.85,43.48,35820.998,Refrigerated,2020-03-30,2020-04-04,578,42.66,24657.48,Rajasthan,Online
993.92,87,Small,2019-06-06,4,Yogurt,Dodla Dairy,767.42,34.57,26529.7094,Frozen,2019-05-17,2019-06-12,552,33.07,18254.64,Jharkhand,Retail
515.63,11,Medium,2019-01-18,1,Milk,Sudha,761.45,49.28,37524.256,Polythene Packet,2019-01-07,2019-01-08,9,47.47,427.23,Gujarat,Online
284.93,75,Small,2019-10-22,9,Paneer,Raj,739.64,19.47,14400.7908,Refrigerated,2019-10-06,2019-10-20,239,15.74,3761.86,Telangana,Online
507.26,34,Small,2022-03-19,6,Curd,Sudha,91.24,59.51,5429.6924,Refrigerated,2022-02-21,2022-02-28,57,59.93,3416.01,Delhi,Retail
548.56,92,Large,2022-07-26,7,Lassi,Mother Dairy,66.36,96.78,6422.3208,Refrigerated,2022-07-20,2022-08-01,17,92.33,1569.61,Chandigarh,Online
682.4,38,Medium,2019-11-20,7,Lassi,Sudha,798.69,46.93,37482.5217,Refrigerated,2019-11-15,2019-12-02,67,49.36,3307.12,Bihar,Retail
313.91,62,Small,2020-11-08,2,Butter,Mother Dairy,199.89,37.8,7555.842,Frozen,2020-10-07,2020-11-05,193,33.52,6469.36,Haryana,Retail
439.03,44,Small,2019-10-17,6,Curd,Amul,432.3,17.02,7357.746,Refrigerated,2019-09-13,2019-09-20,403,16.33,6580.99,Haryana,Wholesale
473.52,84,Medium,2021-05-19,7,Lassi,Amul,326.08,97.99,31952.5792,Refrigerated,2021-04-30,2021-05-12,220,95.8,21076.0,Madhya Pradesh,Online
193.81,25,Large,2021-07-25,2,Butter,Mother Dairy,795.28,45.29,36018.2312,Frozen,2021-06-28,2021-08-04,343,45.06,15455.58,Uttar Pradesh,Online
976.35,30,Medium,2021-05-23,7,Lassi,Amul,436.85,88.68,38739.858,Refrigerated,2021-04-26,2021-05-12,146,84.05,12271.3,Karnataka,Wholesale
327.68,42,Medium,2021-07-06,1,Milk,Raj,754.71,47.13,35569.4823,Polythene Packet,2021-06-11,2021-06-12,462,49.07,22670.34,Telangana,Online
18.15,73,Medium,2019-11-26,9,Paneer,Amul,174.62,55.41,9675.6942,Refrigerated,2019-10-05,2019-10-15,144,57.2,8236.8,Delhi,Wholesale
14.97,71,Small,2020-02-22,1,Milk,Mother Dairy,821.52,11.58,9513.2016,Polythene Packet,2020-01-31,2020-02-01,778,8.69,6760.82,Gujarat,Retail
790.8,78,Large,2020-08-20,8,Buttermilk,Mother Dairy,839.68,36.59,30723.8912,Refrigerated,2020-07-27,2020-08-07,301,40.62,12226.62,Bihar,Online
115.75,65,Small,2021-05-20,1,Milk,Mother Dairy,677.34,21.29,14420.5686,Polythene Packet,2021-05-13,2021-05-15,641,25.78,16524.98,Bihar,Online
629.75,59,Large,2021-05-04,7,Lassi,Mother Dairy,809.3,26.71,21616.403,Refrigerated,2021-04-08,2021-04-20,696,24.07,16752.72,Tamil Nadu,Online
575.1,33,Medium,2021-03-12,5,Ice Cream,Mother Dairy,185.74,54.27,10080.1098,Frozen,2021-02-10,2021-03-09,132,53.42,7051.44,Gujarat,Online
317.15,51,Medium,2022-04-19,3,Cheese,Dynamix Dairies,179.0,36.18,6476.22,Frozen,2022-02-18,2022-04-22,73,37.06,2705.38,Maharashtra,Retail
902.7,70,Small,2020-08-27,9,Paneer,Raj,135.72,21.59,2930.1948,Refrigerated,2020-08-10,2020-08-18,99,19.55,1935.45,Chandigarh,Retail
49.58,86,Medium,2020-03-08,8,Buttermilk,Raj,408.88,81.25,33221.5,Refrigerated,2020-03-06,2020-03-16,406,81.29,33003.74,Delhi,Online
658.0,51,Medium,2020-01-26,2,Butter,Mother Dairy,181.34,24.77,4491.7918,Refrigerated,2020-01-07,2020-02-03,169,23.56,3981.64,Karnataka,Wholesale
458.04,61,Medium,2019-12-04,6,Curd,Amul,193.71,76.25,14770.3875,Refrigerated,2019-11-05,2019-11-10,56,80.19,4490.64,Bihar,Retail
610.39,17,Medium,2022-06-15,9,Paneer,Raj,117.63,17.87,2102.0481,Refrigerated,2022-05-15,2022-05-25,49,19.47,954.03,Bihar,Retail
907.86,23,Large,2022-09-27,7,Lassi,Amul,219.7,27.55,6052.735,Refrigerated,2022-09-06,2022-09-19,67,29.34,1965.78,Karnataka,Online
300.7,74,Small,2022-03-27,8,Buttermilk,Sudha,889.71,66.03,58747.5513,Refrigerated,2022-01-29,2022-02-06,435,63.8,27753.0,Kerala,Wholesale
850.94,26,Large,2021-12-01,8,Buttermilk,Raj,792.68,77.24,61226.6032,Refrigerated,2021-11-27,2021-12-07,61,79.92,4875.12,Gujarat,Retail
392.25,58,Small,2022-09-22,2,Butter,Mother Dairy,686.82,52.5,36058.05,Frozen,2022-08-04,2022-09-11,427,54.55,23292.85,Bihar,Wholesale
643.81,25,Small,2022-06-25,9,Paneer,Raj,678.03,72.79,49353.8037,Refrigerated,2022-05-08,2022-05-18,282,72.4,20416.8,Gujarat,Online
858.33,62,Large,2021-08-07,4,Yogurt,Dodla Dairy,706.46,17.06,12052.2076,Refrigerated,2021-07-19,2021-08-17,132,13.14,1734.48,Telangana,Wholesale
657.27,38,Large,2019-09-24,9,Paneer,Amul,271.12,69.6,18869.952,Refrigerated,2019-07-27,2019-08-05,40,65.99,2639.6,Tamil Nadu,Retail
