Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel
14.97,71,Small,22-02-2020,1,Milk,Mother Dairy,821.52,11.58,9513.2016,Polythene Packet,31-01-2020,01-02-2020,778,8.69,6760.82,Gujarat,Retail
233.62,95,Large,17-12-2022,10,Ghee,Mother Dairy,663.34,48.83,32390.8922,Ambient,26-11-2022,13-04-2023,438,52.79,23122.02,Tamil Nadu,Retail
412.69,88,Medium,24-06-2020,6,Curd,Amul,385.41,26.18,10090.0338,Refrigerated,08-05-2020,14-05-2020,270,30.27,8172.9,Madhya Pradesh,Online
420.85,25,Large,19-01-2020,8,Buttermilk,Amul,367.14,41.05,15071.097,Refrigerated,01-12-2019,11-12-2019,309,40.75,12591.75,West Bengal,Online
534.5,52,Medium,15-06-2021,1,Milk,Amul,896.89,93.72,84056.5308,Tetra Pack,22-05-2021,19-06-2021,486,96.08,46694.88,Telangana,Wholesale
705.01,24,Large,19-05-2020,9,Paneer,Raj,88.69,87.53,7763.0357,Refrigerated,04-04-2020,14-04-2020,26,87.3,2269.8,Chandigarh,Wholesale
338.45,85,Small,08-08-2022,3,Cheese,Britannia Industries,220.03,13.94,3067.2182,Frozen,01-07-2022,13-08-2022,62,14.13,876.06,Telangana,Online
30.85,41,Large,16-04-2020,4,Yogurt,Amul,524.57,84.48,44315.6736,Frozen,04-04-2020,02-05-2020,173,89.32,15452.36,Tamil Nadu,Retail
395.58,79,Small,03-03-2022,3,Cheese,Britannia Industries,879.11,90.1,79207.811,Frozen,04-02-2022,12-03-2022,610,91.05,55540.5,Rajasthan,Online
276.44,80,Small,24-10-2021,6,Curd,Sudha,212.56,81.31,17283.2536,Refrigerated,26-08-2021,31-08-2021,55,76.37,4200.35,Tamil Nadu,Online
551.85,12,Large,17-11-2021,9,Paneer,Sudha,886.35,62.21,55139.8335,Refrigerated,23-10-2021,31-10-2021,845,66.7,56361.5,Jharkhand,Wholesale
109.69,27,Small,26-07-2022,2,Butter,Warana,430.46,89.64,38586.4344,Frozen,05-07-2022,11-08-2022,47,92.96,4369.12,Maharashtra,Wholesale
15.88,90,Small,25-09-2022,2,Butter,Warana,440.42,77.46,34114.9332,Frozen,20-08-2022,25-09-2022,246,77.53,19072.38,Chandigarh,Retail
456.36,45,Medium,24-06-2020,6,Curd,Mother Dairy,565.23,86.39,48830.2197,Refrigerated,21-05-2020,27-05-2020,305,84.57,25793.85,Maharashtra,Retail
98.07,87,Small,13-01-2021,7,Lassi,Sudha,101.56,18.99,1928.6244,Refrigerated,07-01-2021,21-01-2021,26,21.19,550.94,Tamil Nadu,Retail
726.57,57,Large,25-05-2020,9,Paneer,Amul,770.27,80.1,61698.627,Refrigerated,02-05-2020,09-05-2020,557,81.76,45540.32,Madhya Pradesh,Retail
509.17,41,Large,27-03-2020,2,Butter,Amul,985.95,92.69,91387.7055,Refrigerated,21-02-2020,20-03-2020,56,96.86,5424.16,Rajasthan,Retail
573.99,100,Medium,01-01-2022,9,Paneer,Mother Dairy,595.79,44.3,26393.497,Refrigerated,28-11-2021,10-12-2021,137,46.82,6414.34,Madhya Pradesh,Wholesale
589.36,97,Medium,02-10-2019,10,Ghee,Amul,581.5,43.88,25516.22,Ambient,23-08-2019,06-01-2020,86,41.49,3568.14,Delhi,Wholesale
197.58,65,Small,14-05-2019,4,Yogurt,Dodla Dairy,332.87,97.87,32577.9869,Frozen,19-03-2019,10-04-2019,95,101.56,9648.2,Karnataka,Retail
639.32,25,Large,28-04-2022,1,Milk,Raj,652.4,61.24,39952.976,Polythene Packet,12-04-2022,13-04-2022,389,65.53,25491.17,Telangana,Retail
750.03,81,Small,11-01-2020,10,Ghee,Amul,486.43,27.23,13245.4889,Ambient,20-12-2019,27-04-2020,384,25.51,9795.84,Kerala,Online
987.14,52,Large,28-01-2021,7,Lassi,Sudha,524.71,49.39,25915.4269,Refrigerated,22-12-2020,08-01-2021,167,45.86,7658.62,Gujarat,Retail
783.65,77,Large,11-07-2022,7,Lassi,Sudha,675.65,36.87,24911.2155,Refrigerated,28-05-2022,09-06-2022,671,32.92,22089.32,Rajasthan,Wholesale
373.77,79,Medium,09-06-2021,6,Curd,Amul,267.21,27.31,7297.5051,Refrigerated,18-04-2021,24-04-2021,116,22.62,2623.92,Kerala,Wholesale
819.45,42,Medium,23-02-2019,8,Buttermilk,Mother Dairy,801.25,34.8,27883.5,Refrigerated,25-01-2019,08-02-2019,292,38.9,11358.8,Telangana,Wholesale
778.16,42,Large,11-12-2019,7,Lassi,Raj,112.8,91.62,10334.736,Refrigerated,30-10-2019,12-11-2019,104,93.93,9768.72,Bihar,Retail
428.84,88,Medium,08-02-2022,7,Lassi,Sudha,797.52,92.04,73403.7408,Refrigerated,13-01-2022,26-01-2022,715,89.08,63692.2,Haryana,Wholesale
389.58,36,Large,09-04-2021,5,Ice Cream,Amul,675.77,52.35,35376.5595,Frozen,20-02-2021,16-03-2021,6,54.41,326.46,Gujarat,Wholesale
332.75,98,Medium,23-10-2019,1,Milk,Sudha,865.01,46.37,40110.5137,Polythene Packet,11-10-2019,13-10-2019,302,42.34,12786.68,Delhi,Retail
524.45,67,Medium,20-09-2019,2,Butter,Amul,8.47,90.79,768.9913,Refrigerated,12-08-2019,19-09-2019,3,87.28,261.84,Delhi,Retail
816.9,21,Small,01-02-2021,9,Paneer,Amul,381.78,23.83,9097.8174,Refrigerated,20-12-2020,30-12-2020,82,20.25,1660.5,Delhi,Wholesale
343.51,12,Medium,03-05-2020,1,Milk,Raj,834.13,25.48,21253.6324,Polythene Packet,25-03-2020,26-03-2020,406,27.22,11051.32,Telangana,Online
201.32,37,Medium,15-08-2019,7,Lassi,Amul,681.45,78.56,53534.712,Refrigerated,04-07-2019,20-07-2019,552,74.45,41096.4,Haryana,Retail
827.42,82,Large,03-03-2019,9,Paneer,Raj,988.64,55.77,55136.4528,Refrigerated,25-02-2019,06-03-2019,262,52.57,13773.34,Telangana,Retail
327.49,65,Medium,28-11-2019,8,Buttermilk,Mother Dairy,410.48,41.31,16956.9288,Refrigerated,27-10-2019,07-11-2019,141,43.02,6065.82,Delhi,Online
226.52,53,Large,08-03-2021,5,Ice Cream,Dodla Dairy,351.11,58.25,20452.1575,Frozen,03-03-2021,01-04-2021,305,62.31,19004.55,Rajasthan,Online
338.65,79,Large,16-01-2020,8,Buttermilk,Mother Dairy,83.31,62.03,5167.7193,Refrigerated,14-01-2020,27-01-2020,62,65.24,4044.88,West Bengal,Retail
672.52,32,Medium,07-01-2019,2,Butter,Amul,30.69,89.8,2755.962,Frozen,28-11-2018,27-12-2018,22,92.23,2029.06,Uttar Pradesh,Retail
976.62,76,Small,15-05-2021,9,Paneer,Sudha,9.78,82.89,810.6642,Refrigerated,31-03-2021,14-04-2021,2,85.42,170.84,Madhya Pradesh,Wholesale
71.89,12,Small,22-09-2022,3,Cheese,Passion Cheese,953.21,48.71,46430.8591,Refrigerated,28-08-2022,09-10-2022,705,45.04,31753.2,Chandigarh,Retail
386.08,98,Small,26-05-2021,7,Lassi,Amul,707.2,98.37,69567.264,Refrigerated,14-05-2021,26-05-2021,145,101.64,14737.8,Kerala,Retail
968.19,48,Medium,20-04-2021,6,Curd,Raj,839.1,56.07,47048.337,Refrigerated,01-04-2021,07-04-2021,11,58.17,639.87,Gujarat,Online
744.96,19,Medium,07-02-2021,10,Ghee,Mother Dairy,960.28,68.66,65932.8248,Ambient,13-01-2021,30-05-2021,956,69.79,66719.24,Tamil Nadu,Wholesale
654.24,19,Large,22-09-2020,4,Yogurt,Palle2patnam,65.8,82.43,5423.894,Frozen,21-09-2020,21-10-2020,26,84.9,2207.4,Maharashtra,Online
418.17,20,Large,17-11-2019,10,Ghee,Sudha,685.84,92.97,63762.5448,Ambient,07-11-2019,29-03-2020,634,95.09,60287.06,Chandigarh,Retail
76.43,31,Small,18-12-2022,4,Yogurt,Dodla Dairy,754.25,20.21,15243.3925,Frozen,24-10-2022,21-11-2022,290,21.16,6136.4,Rajasthan,Online
647.03,74,Small,02-01-2021,5,Ice Cream,Palle2patnam,750.7,86.58,64995.606,Frozen,04-12-2020,30-12-2020,696,83.73,58276.08,Delhi,Wholesale
126.19,90,Large,17-12-2019,10,Ghee,Amul,838.85,61.21,51346.0085,Ambient,07-12-2019,02-05-2020,392,61.22,23998.24,Jharkhand,Wholesale
948.51,94,Small,24-08-2019,2,Butter,Mother Dairy,791.17,45.01,35610.5617,Frozen,08-08-2019,14-09-2019,534,48.01,25637.34,Chandigarh,Wholesale
377.27,100,Medium,07-11-2021,1,Milk,Mother Dairy,62.79,95.03,5966.9337,Tetra Pack,17-09-2021,08-10-2021,16,93.22,1491.52,Bihar,Wholesale
266.22,58,Large,15-04-2020,4,Yogurt,Amul,931.71,45.36,42262.3656,Refrigerated,09-04-2020,05-05-2020,834,40.97,34168.98,Gujarat,Wholesale
291.16,77,Large,10-09-2020,7,Lassi,Raj,398.09,22.2,8837.598,Refrigerated,22-07-2020,05-08-2020,304,23.26,7071.04,Uttar Pradesh,Online
132.6,22,Medium,10-09-2021,4,Yogurt,Mother Dairy,548.97,27.07,14860.6179,Refrigerated,31-08-2021,25-09-2021,386,25.29,9761.94,Telangana,Online
966.32,79,Medium,11-05-2019,4,Yogurt,Amul,357.6,68.17,24377.592,Frozen,25-03-2019,21-04-2019,9,65.87,592.83,Chandigarh,Wholesale
85.67,19,Medium,11-10-2021,10,Ghee,Raj,455.19,44.64,20319.6816,Ambient,10-09-2021,01-02-2022,420,48.13,20214.6,Madhya Pradesh,Online
478.25,40,Large,15-06-2022,1,Milk,Raj,156.97,81.7,12824.449,Polythene Packet,06-06-2022,07-06-2022,103,80.26,8266.78,Chandigarh,Retail
351.15,38,Large,14-09-2020,6,Curd,Sudha,120.72,44.7,5396.184,Refrigerated,05-08-2020,10-08-2020,78,48.75,3802.5,Bihar,Online
472.49,23,Small,10-07-2022,8,Buttermilk,Sudha,23.96,53.76,1288.0896,Refrigerated,31-05-2022,11-06-2022,23,56.57,1301.11,Madhya Pradesh,Online
872.78,35,Large,11-05-2020,1,Milk,Sudha,373.21,38.88,14510.4048,Polythene Packet,10-05-2020,11-05-2020,166,36.18,6005.88,Rajasthan,Retail
414.17,38,Small,03-08-2019,6,Curd,Mother Dairy,551.14,64.01,35278.4714,Refrigerated,16-06-2019,21-06-2019,203,65.1,13215.3,Telangana,Wholesale
162.03,28,Medium,25-06-2021,4,Yogurt,Mother Dairy,595.93,35.46,21131.6778,Frozen,12-06-2021,09-07-2021,54,34.78,1878.12,Madhya Pradesh,Online
829.55,32,Medium,02-07-2022,1,Milk,Amul,928.93,50.94,47319.6942,Tetra Pack,26-05-2022,17-06-2022,869,54.74,47569.06,Jharkhand,Online
315.14,24,Medium,09-10-2020,8,Buttermilk,Raj,118.22,20.18,2385.6796,Refrigerated,19-09-2020,01-10-2020,84,15.64,1313.76,Jharkhand,Online
716.54,90,Large,13-07-2019,3,Cheese,Amul,197.25,99.96,19717.11,Refrigerated,08-06-2019,07-07-2019,150,100.74,15111,Jharkhand,Wholesale
364.27,41,Small,10-03-2020,5,Ice Cream,Palle2patnam,69.59,95.3,6631.927,Frozen,20-02-2020,19-03-2020,36,98.67,3552.12,Gujarat,Retail
605.79,38,Small,02-04-2019,2,Butter,Amul,705.44,77.71,54819.7424,Refrigerated,17-02-2019,29-03-2019,279,80.91,22573.89,Tamil Nadu,Retail
175.31,69,Large,09-06-2020,6,Curd,Amul,336.47,65.23,21947.9381,Refrigerated,18-04-2020,24-04-2020,108,61.59,6651.72,West Bengal,Wholesale
908.72,39,Large,03-10-2021,4,Yogurt,Mother Dairy,616.07,80.74,49741.4918,Frozen,01-09-2021,28-09-2021,362,83.85,30353.7,Uttar Pradesh,Wholesale
11.73,54,Small,17-08-2020,10,Ghee,Mother Dairy,343.94,43.79,15061.1326,Ambient,21-07-2020,03-12-2020,320,43.76,14003.2,Karnataka,Retail
53.08,95,Medium,05-01-2022,1,Milk,Sudha,999.78,49.06,49049.2068,Polythene Packet,19-12-2021,21-12-2021,499,48.14,24021.86,Rajasthan,Online
746.23,98,Medium,18-10-2022,3,Cheese,Amul,211.51,63.08,13342.0508,Refrigerated,28-08-2022,26-10-2022,206,64.22,13229.32,West Bengal,Online
880.7,78,Large,15-05-2022,4,Yogurt,Palle2patnam,504.33,76.58,38621.5914,Refrigerated,20-04-2022,18-05-2022,490,81.37,39871.3,Delhi,Retail
776.36,17,Medium,25-08-2021,2,Butter,Parag Milk Foods,535.1,13.66,7309.466,Frozen,08-07-2021,16-08-2021,18,8.83,158.94,Jharkhand,Retail
951.4,30,Large,11-03-2019,10,Ghee,Sudha,729.21,16.37,11937.1677,Ambient,18-02-2019,14-05-2019,458,12.86,5889.88,Rajasthan,Wholesale
53.06,62,Medium,01-11-2020,8,Buttermilk,Sudha,149.16,86.32,12875.4912,Refrigerated,19-10-2020,01-11-2020,140,81.47,11405.8,Uttar Pradesh,Online
484.34,61,Small,06-09-2019,9,Paneer,Raj,674.12,43.22,29135.4664,Refrigerated,13-08-2019,24-08-2019,230,42.79,9841.7,Gujarat,Retail
291.79,55,Large,16-09-2020,3,Cheese,Dynamix Dairies,627.29,28.93,18147.4997,Refrigerated,01-09-2020,01-10-2020,465,29.8,13857,West Bengal,Online
84.24,77,Small,25-10-2019,6,Curd,Raj,865.53,45.95,39771.1035,Refrigerated,30-08-2019,06-09-2019,581,49.38,28689.78,Telangana,Wholesale
240.04,89,Large,10-11-2019,8,Buttermilk,Raj,582.19,52.51,30570.7969,Refrigerated,01-10-2019,14-10-2019,556,53.75,29885,Madhya Pradesh,Retail
728.93,94,Large,23-11-2022,1,Milk,Sudha,280.1,78.72,22049.472,Tetra Pack,20-11-2022,19-12-2022,163,75.83,12360.29,Rajasthan,Retail
845.18,66,Medium,06-05-2020,7,Lassi,Sudha,331.3,67.3,22296.49,Refrigerated,07-04-2020,19-04-2020,135,67.91,9167.85,Delhi,Retail
872.75,29,Large,23-11-2019,1,Milk,Sudha,229.17,29.49,6758.2233,Tetra Pack,28-10-2019,25-11-2019,159,34.04,5412.36,Kerala,Wholesale
287.81,88,Medium,22-07-2022,3,Cheese,Dynamix Dairies,38.2,75.82,2896.324,Refrigerated,09-06-2022,23-07-2022,3,77.91,233.73,Rajasthan,Online
305.81,66,Medium,05-07-2021,6,Curd,Amul,242.26,26.85,6504.681,Refrigerated,01-07-2021,08-07-2021,158,25.72,4063.76,Jharkhand,Retail
845.65,48,Medium,18-10-2022,3,Cheese,Britannia Industries,898.01,25.44,22845.3744,Frozen,04-09-2022,25-11-2022,674,27.1,18265.4,Uttar Pradesh,Online
670.22,73,Large,27-02-2020,7,Lassi,Amul,648.13,99.03,64184.3139,Refrigerated,08-01-2020,24-01-2020,597,103.49,61783.53,Kerala,Retail
813.84,29,Medium,16-11-2019,10,Ghee,Mother Dairy,303.9,35.1,10666.89,Ambient,05-10-2019,29-02-2020,296,36.16,10703.36,Rajasthan,Wholesale
104.95,58,Medium,13-11-2022,2,Butter,Parag Milk Foods,615.24,95.65,58847.706,Frozen,23-09-2022,21-10-2022,281,96.42,27094.02,Delhi,Retail
178.74,14,Large,21-04-2022,1,Milk,Raj,105.47,27.19,2867.7293,Polythene Packet,05-03-2022,06-03-2022,50,27,1350,West Bengal,Wholesale
790.64,46,Large,21-04-2022,4,Yogurt,Amul,928.58,82.34,76459.2772,Refrigerated,31-03-2022,24-04-2022,552,78.38,43265.76,Gujarat,Retail
836.93,43,Large,16-06-2020,4,Yogurt,Dodla Dairy,862.73,98.65,85108.3145,Refrigerated,11-06-2020,04-07-2020,7,99.66,697.62,Chandigarh,Online
490.22,66,Large,21-08-2021,1,Milk,Sudha,904.53,21.58,19519.7574,Polythene Packet,13-07-2021,15-07-2021,129,22.4,2889.6,Maharashtra,Online
953.38,37,Small,09-01-2019,9,Paneer,Mother Dairy,969.09,61.34,59443.9806,Refrigerated,08-12-2018,15-12-2018,779,60.15,46856.85,Kerala,Wholesale
760.89,72,Large,13-08-2022,3,Cheese,Amul,215.99,27.78,6000.2022,Refrigerated,24-07-2022,06-10-2022,39,23.87,930.93,Madhya Pradesh,Wholesale
521.82,82,Large,05-06-2019,8,Buttermilk,Sudha,394.68,85.32,33674.0976,Refrigerated,03-06-2019,15-06-2019,104,81.24,8448.96,West Bengal,Online
479.23,23,Large,26-01-2019,1,Milk,Mother Dairy,86.33,48.91,4222.4003,Tetra Pack,11-12-2018,08-01-2019,84,45.16,3793.44,Rajasthan,Online
782.36,28,Large,09-06-2021,3,Cheese,Amul,448.41,64.9,29101.809,Refrigerated,12-04-2021,21-05-2021,36,63.9,2300.4,Maharashtra,Online
532.8,52,Large,19-12-2022,8,Buttermilk,Mother Dairy,959.1,80.71,77408.961,Refrigerated,09-12-2022,23-12-2022,263,81.78,21508.14,Rajasthan,Retail
423.46,46,Large,18-11-2020,5,Ice Cream,Amul,950.71,38.42,36526.2782,Frozen,01-11-2020,25-11-2020,459,36.69,16840.71,Gujarat,Retail
577.76,13,Small,27-12-2019,5,Ice Cream,Dodla Dairy,661.7,76.05,50322.285,Frozen,08-12-2019,06-01-2020,275,73.34,20168.5,Chandigarh,Online
540.29,58,Medium,11-05-2022,8,Buttermilk,Sudha,682.38,46.2,31525.956,Refrigerated,17-04-2022,25-04-2022,313,41.5,12989.5,Uttar Pradesh,Wholesale
299.33,58,Small,04-04-2021,1,Milk,Sudha,662.83,73.51,48724.6333,Tetra Pack,21-03-2021,13-04-2021,131,75.47,9886.57,Uttar Pradesh,Online
811.18,73,Medium,18-07-2020,8,Buttermilk,Raj,41.39,67.85,2808.3115,Refrigerated,19-05-2020,01-06-2020,9,65.07,585.63,Gujarat,Online
603.54,44,Small,11-11-2021,6,Curd,Sudha,408.73,34.92,14272.8516,Refrigerated,01-11-2021,08-11-2021,187,34,6358,Chandigarh,Online
995.55,90,Medium,13-03-2019,6,Curd,Raj,576.03,58.83,33887.8449,Refrigerated,19-02-2019,24-02-2019,332,62.34,20696.88,West Bengal,Retail
550.58,89,Small,01-03-2022,1,Milk,Sudha,59.99,51.59,3094.8841,Tetra Pack,25-02-2022,24-03-2022,22,51.83,1140.26,Karnataka,Online
34.41,92,Large,19-11-2019,2,Butter,Parag Milk Foods,771.93,19.17,14797.8981,Frozen,26-10-2019,28-11-2019,554,15.52,8598.08,Chandigarh,Retail
518.23,59,Medium,21-08-2020,8,Buttermilk,Sudha,833.58,20.43,17030.0394,Refrigerated,28-07-2020,07-08-2020,463,16.51,7644.13,Madhya Pradesh,Retail
898.35,61,Medium,02-03-2021,6,Curd,Mother Dairy,520.56,91.25,47501.1,Refrigerated,05-01-2021,12-01-2021,358,91.27,32674.66,Uttar Pradesh,Online
769.43,55,Large,03-09-2022,3,Cheese,Dynamix Dairies,252.87,85.18,21539.4666,Refrigerated,08-08-2022,28-10-2022,137,87.69,12013.53,Gujarat,Wholesale
699.19,96,Small,10-06-2021,9,Paneer,Amul,571.27,59.43,33950.5761,Refrigerated,15-04-2021,22-04-2021,217,64.24,13940.08,Rajasthan,Retail
603.11,73,Medium,18-11-2019,7,Lassi,Amul,333.33,16.94,5646.6102,Refrigerated,25-09-2019,08-10-2019,127,12.67,1609.09,Madhya Pradesh,Wholesale
713.33,48,Large,09-05-2022,3,Cheese,Amul,541.95,76.59,41507.9505,Frozen,20-03-2022,09-05-2022,467,79.62,37182.54,Tamil Nadu,Online
587.1,22,Large,02-03-2021,9,Paneer,Sudha,374.12,49.82,18638.6584,Refrigerated,07-02-2021,15-02-2021,148,51.77,7661.96,Tamil Nadu,Wholesale
430.21,70,Large,12-04-2022,3,Cheese,Dynamix Dairies,956.86,19.12,18295.1632,Frozen,18-02-2022,14-04-2022,505,14.62,7383.1,Chandigarh,Online
679.85,39,Large,17-05-2022,1,Milk,Amul,571.63,93.68,53550.2984,Polythene Packet,03-05-2022,04-05-2022,480,98.2,47136,Karnataka,Online
43.5,33,Medium,05-01-2022,1,Milk,Sudha,234.32,14.61,3423.4152,Tetra Pack,02-01-2022,23-01-2022,190,16.3,3097,Telangana,Wholesale
411.18,76,Small,21-06-2019,1,Milk,Raj,62.47,94.83,5924.0301,Polythene Packet,30-05-2019,31-05-2019,48,90.06,4322.88,Delhi,Wholesale
660.68,25,Medium,20-02-2020,5,Ice Cream,Mother Dairy,249.49,89.82,22409.1918,Frozen,28-01-2020,22-02-2020,180,87.33,15719.4,Bihar,Retail
467.23,46,Small,19-02-2019,2,Butter,Warana,351.25,51.05,17931.3125,Frozen,15-01-2019,16-02-2019,350,51,17850,Maharashtra,Wholesale
69.39,89,Medium,04-07-2022,5,Ice Cream,Palle2patnam,653.12,60.52,39526.8224,Frozen,27-05-2022,19-06-2022,148,61.4,9087.2,West Bengal,Online
416.62,96,Medium,28-10-2020,10,Ghee,Mother Dairy,306.96,81.46,25004.9616,Ambient,10-09-2020,11-12-2020,62,78.91,4892.42,Karnataka,Wholesale
265.08,84,Small,06-04-2019,2,Butter,Parag Milk Foods,332.23,30.78,10226.0394,Frozen,26-03-2019,05-05-2019,328,27.15,8905.2,Telangana,Wholesale
529.82,15,Small,18-12-2019,1,Milk,Amul,313.25,32.66,10230.745,Polythene Packet,21-11-2019,22-11-2019,73,32.72,2388.56,Rajasthan,Online
976.02,95,Small,24-02-2019,6,Curd,Amul,488.83,42.69,20868.1527,Refrigerated,13-02-2019,19-02-2019,167,41.02,6850.34,Delhi,Wholesale
689.29,66,Large,21-07-2021,10,Ghee,Sudha,93.31,86.93,8111.4383,Ambient,25-05-2021,01-08-2021,76,89.11,6772.36,West Bengal,Online
392.76,89,Large,16-06-2020,2,Butter,Amul,901.18,53.26,47996.8468,Refrigerated,01-05-2020,04-06-2020,637,51.25,32646.25,Bihar,Wholesale
475.44,21,Small,23-10-2019,10,Ghee,Mother Dairy,51.63,52.64,2717.8032,Ambient,29-08-2019,30-10-2019,37,53.69,1986.53,Rajasthan,Online
580.01,20,Medium,07-10-2022,3,Cheese,Amul,254,31.29,7947.66,Frozen,26-08-2022,24-10-2022,222,34.02,7552.44,Delhi,Wholesale
587.83,20,Medium,03-01-2021,2,Butter,Amul,650.03,57.57,37422.2271,Frozen,02-12-2020,02-01-2021,74,52.88,3913.12,Karnataka,Online
257.67,56,Large,26-09-2019,4,Yogurt,Dodla Dairy,365.86,69.14,25295.5604,Refrigerated,31-07-2019,25-08-2019,286,65.31,18678.66,Maharashtra,Online
314.25,52,Large,21-11-2022,1,Milk,Mother Dairy,448.09,75.81,33969.7029,Polythene Packet,18-11-2022,20-11-2022,329,71.75,23605.75,Haryana,Wholesale
91.39,35,Medium,01-09-2022,10,Ghee,Amul,346.96,60.81,21098.6376,Ambient,06-08-2022,31-10-2022,127,60.5,7683.5,Delhi,Retail
234.19,28,Large,06-02-2022,6,Curd,Mother Dairy,120.49,82.44,9933.1956,Refrigerated,22-12-2021,28-12-2021,25,81.53,2038.25,Uttar Pradesh,Wholesale
378.64,32,Medium,15-06-2022,10,Ghee,Raj,338,35.93,12144.34,Ambient,20-04-2022,22-06-2022,15,31.92,478.8,Kerala,Online
791.28,13,Medium,15-03-2020,4,Yogurt,Amul,727.93,36.85,26824.2205,Refrigerated,29-02-2020,23-03-2020,578,33.43,19322.54,Bihar,Retail
449.32,28,Small,26-01-2022,4,Yogurt,Amul,537.05,48.49,26041.5545,Frozen,24-12-2021,23-01-2022,69,51.52,3554.88,Delhi,Retail
827.14,66,Medium,13-07-2020,8,Buttermilk,Mother Dairy,171.89,42.04,7226.2556,Refrigerated,24-06-2020,02-07-2020,150,46.04,6906,Haryana,Wholesale
83.63,82,Medium,22-11-2022,3,Cheese,Amul,351.92,31.84,11205.1328,Refrigerated,08-10-2022,10-12-2022,27,28.5,769.5,West Bengal,Retail
500.17,74,Medium,26-01-2022,1,Milk,Sudha,833.04,37.3,31072.392,Tetra Pack,28-12-2021,19-01-2022,280,40.12,11233.6,Gujarat,Online
676.47,15,Small,13-02-2022,9,Paneer,Raj,164.66,61.72,10162.8152,Refrigerated,25-12-2021,08-01-2022,14,57.35,802.9,Maharashtra,Retail
762.07,70,Small,15-11-2021,8,Buttermilk,Sudha,948.97,48.5,46025.045,Refrigerated,02-11-2021,16-11-2021,568,43.84,24901.12,Jharkhand,Wholesale
141.62,85,Large,19-10-2020,9,Paneer,Sudha,272.32,91.07,24800.1824,Refrigerated,06-09-2020,13-09-2020,237,90.1,21353.7,Karnataka,Retail
628.29,10,Large,12-08-2021,6,Curd,Raj,312.86,82.16,25704.5776,Refrigerated,27-07-2021,01-08-2021,171,84.4,14432.4,Chandigarh,Retail
213.69,80,Large,20-09-2022,7,Lassi,Raj,273.95,19.1,5232.445,Refrigerated,12-09-2022,24-09-2022,91,17.16,1561.56,Bihar,Retail
